Epoch,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
1,2435483.0,6718336.0,0.06772727272727273,0.09269356597600872
2,33065434.0,7105692.0,0.10147727272727272,0.1479462013813159
3,60081896.0,5863884.0,0.11477272727272728,0.22537259178480554
4,66976684.0,5712838.0,0.14875,0.302071973827699
5,118563328.0,4941275.5,0.17397727272727273,0.3478735005452563
6,447422560.0,3428079.0,0.20477272727272727,0.36822973464194836
7,42022044.0,3530348.5,0.23170454545454544,0.3751363140676118
8,89322016.0,3219737.25,0.26136363636363635,0.3747728098873137
9,96180880.0,3934556.25,0.28761363636363635,0.3751363140676118
10,285383776.0,4550622.0,0.31795454545454543,0.3751363140676118
11,696660928.0,3708109.25,0.33375,0.3751363140676118
12,148365776.0,3438437.0,0.34261363636363634,0.3751363140676118
13,65009792.0,2992172.75,0.35375,0.3751363140676118
14,34856968.0,2958280.25,0.3613636363636364,0.3751363140676118
15,878515328.0,2151522.75,0.3668181818181818,0.3751363140676118
16,38047132.0,2018299.25,0.37136363636363634,0.3751363140676118
17,244748416.0,1499069.625,0.37170454545454545,0.3751363140676118
18,76877784.0,1374168.25,0.37386363636363634,0.3751363140676118
19,53941344.0,1442628.375,0.37363636363636366,0.3751363140676118
20,35354204.0,1836985.375,0.3746590909090909,0.3751363140676118
21,97058560.0,2202607.0,0.37454545454545457,0.3751363140676118
22,472003424.0,1933958.375,0.37477272727272726,0.3751363140676118
23,203225296.0,1658417.125,0.37454545454545457,0.3751363140676118
24,28149614.0,1631525.625,0.37511363636363637,0.3751363140676118
25,52627656.0,1662493.5,0.375,0.3751363140676118
26,37944868.0,1738044.625,0.37511363636363637,0.3751363140676118
27,108200400.0,1661531.375,0.37511363636363637,0.3751363140676118
28,13978957.0,1601498.125,0.37511363636363637,0.3751363140676118
29,13678395.0,1609711.125,0.375,0.3751363140676118
30,146042928.0,1499805.375,0.3753409090909091,0.3751363140676118
31,36338492.0,1385256.75,0.37511363636363637,0.3751363140676118
32,68698880.0,1298967.25,0.37511363636363637,0.3751363140676118
33,21262544.0,1225439.0,0.375,0.3751363140676118
34,100836400.0,1093986.0,0.375,0.3751363140676118
35,24403786.0,954191.375,0.37511363636363637,0.3751363140676118
36,4444606.0,865139.375,0.37511363636363637,0.3751363140676118
37,15907504.0,778125.0,0.37511363636363637,0.3751363140676118
38,27604288.0,667584.25,0.37511363636363637,0.3751363140676118
39,30149044.0,575923.1875,0.37522727272727274,0.3751363140676118
40,32630042.0,495752.625,0.37511363636363637,0.3751363140676118
41,7867396.0,420673.0625,0.375,0.3751363140676118
42,12749413.0,372915.78125,0.37511363636363637,0.3751363140676118
43,44291400.0,339539.25,0.37522727272727274,0.3751363140676118
44,38891624.0,315839.09375,0.37511363636363637,0.3751363140676118
45,18769486.0,300648.40625,0.37511363636363637,0.3751363140676118
46,17880914.0,296438.25,0.3753409090909091,0.3751363140676118
47,6449397.5,298257.21875,0.3753409090909091,0.3751363140676118
48,5335200.0,302531.6875,0.37511363636363637,0.3751363140676118
49,25133472.0,295671.53125,0.37511363636363637,0.3751363140676118
50,4755937.0,286954.25,0.37511363636363637,0.3751363140676118
51,15295805.0,277856.75,0.37511363636363637,0.3751363140676118
52,6395544.0,266130.875,0.37488636363636363,0.3751363140676118
53,8634931.0,251421.265625,0.37522727272727274,0.3751363140676118
54,7697189.5,248178.71875,0.375,0.3751363140676118
55,10684414.0,238344.640625,0.375,0.3751363140676118
56,10270803.0,232660.75,0.3753409090909091,0.3751363140676118
57,16816400.0,217922.921875,0.3753409090909091,0.3751363140676118
58,11446753.0,202714.171875,0.37522727272727274,0.3751363140676118
59,31114548.0,199040.296875,0.37545454545454543,0.3751363140676118
60,11382605.0,186909.4375,0.3753409090909091,0.3751363140676118
61,5105714.0,182487.484375,0.3756818181818182,0.3751363140676118
62,8148961.5,173251.15625,0.3753409090909091,0.3751363140676118
63,9256272.0,163193.15625,0.375,0.3751363140676118
64,3205497.75,154434.90625,0.37522727272727274,0.3751363140676118
65,3612640.5,146680.1875,0.37579545454545454,0.3751363140676118
66,2614592.25,140165.765625,0.3755681818181818,0.3751363140676118
67,8448434.0,135031.78125,0.37636363636363634,0.3751363140676118
68,6320484.5,128736.5,0.37579545454545454,0.3751363140676118
69,8457909.0,125918.125,0.37625,0.3751363140676118
70,1899788.625,123034.1484375,0.37579545454545454,0.3751363140676118
71,5491618.0,120109.5,0.3769318181818182,0.3751363140676118
72,18466678.0,122075.3984375,0.37681818181818183,0.3751363140676118
73,3495725.0,120961.9296875,0.3769318181818182,0.3751363140676118
74,10643569.0,123615.625,0.37681818181818183,0.3751363140676118
75,4117075.5,120783.6171875,0.37772727272727274,0.3751363140676118
76,17210666.0,124009.5625,0.37636363636363634,0.3751363140676118
77,4042680.25,120376.6171875,0.37795454545454543,0.3751363140676118
78,17371180.0,120063.1875,0.3764772727272727,0.3751363140676118
79,7313626.0,118008.921875,0.37545454545454543,0.3751363140676118
80,3990682.0,121171.03125,0.3770454545454546,0.3751363140676118
81,935230.375,119063.6796875,0.3760227272727273,0.3751363140676118
82,7145615.0,123629.734375,0.37738636363636363,0.3751363140676118
83,13006355.0,122798.265625,0.3780681818181818,0.3751363140676118
84,3329036.25,125811.65625,0.37829545454545455,0.3751363140676118
85,4923268.0,126454.765625,0.37772727272727274,0.3751363140676118
86,6217131.0,130248.953125,0.37772727272727274,0.3751363140676118
87,5556659.5,128859.21875,0.3775,0.3751363140676118
88,2419452.0,131463.4375,0.37886363636363635,0.3751363140676118
89,7186650.0,130996.3046875,0.37875,0.3751363140676118
90,5864193.5,130363.796875,0.38079545454545455,0.3751363140676118
91,2115096.75,131633.15625,0.3785227272727273,0.3751363140676118
92,4868864.5,133254.03125,0.37875,0.3751363140676118
93,4392210.0,134318.078125,0.38,0.3751363140676118
94,14925101.0,135305.84375,0.3790909090909091,0.3751363140676118
95,2568531.5,135662.953125,0.38,0.3751363140676118
96,1797394.0,137808.8125,0.3789772727272727,0.3751363140676118
97,5128634.0,142690.8125,0.3794318181818182,0.3751363140676118
98,1842606.375,140535.71875,0.3794318181818182,0.3751363140676118
99,5677805.0,146028.53125,0.38125,0.3751363140676118
100,15116775.0,149697.140625,0.3805681818181818,0.3751363140676118
101,8280535.0,150523.40625,0.3819318181818182,0.3751363140676118
102,12788595.0,153508.46875,0.3805681818181818,0.3751363140676118
